Item,Quantity,Weight,Price,Link
,,,,
Weapon,1,105,,
All escs ,1,15.8,31.65,https://www.aliexpress.us/item/3256809637711999.html?spm=a2g0o.order_list.order_list_main.9.20c41802C01j1Z&gatewayAdapt=glo2usa
Weapon motor,1,43.2,38.88,https://www.aliexpress.us/item/3256806796211325.html?spm=a2g0o.detail.similar_items.2.80d4oxqnoxqnAz&utparam-url=scene%3Aimage_search%7Cquery_from%3Adetail_bigimg%7Cx_object_id%3A1005006982526077%7C_p_origin_prod%3A1005005199266047&algo_pvid=eb8f66a2-cb6a-4bfd-bcdc-6ad639e4a732&algo_exp_id=eb8f66a2-cb6a-4bfd-bcdc-6ad639e4a732&pdp_ext_f=%7B%22order%22%3A%22250%22%2C%22orig_sl_item_id%22%3A%221005006982526077%22%2C%22orig_item_id%22%3A%221005005199266047%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2177.77%2138.88%21%21%21552.36%21276.18%21%4021033d6617604872019335777e8703%2112000038933432686%21sea%21US%212956977473%21X%211%210%21n_tag%3A-29919%3Bd%3Af54cf0c2%3Bm03_new_user%3A-29895&gatewayAdapt=4itemAdapt
drive motor,2,89,81,https://repeat-robotics.com/buy/mini-mk4/ and https://repeat-robotics.com/buy/repeat-drive-4mm-shaft-replacement/
reciever,1,0.9,5.7,https://www.aliexpress.us/item/3256804714662317.html?spm=a2g0o.order_list.order_list_main.37.20c41802C01j1Z&gatewayAdapt=glo2usa
battery,1,40.6,20.3,https://www.gaoneng.shop/products/gaoneng-gnb-4s-14.8v-350mah-60c-xt30-lipo-battery
power switch,1,2.15,14,https://repeat-robotics.com/buy/fingertech-switch/
uprights,2,44.26,,
body,1,35.35,,
top lid,1,17.5,,
armor,2,18,,
wheels,4,24.5,,
,,-436.26,,
,,454,,
,Total weight left,17.74,,
,,,191.53,
